source,target
5050a-eng_doc,none detected
5050a-eng,none detected
5138-cym_doc,none detected
5138-eng_doc,none detected
5222-cym,lwfansau
5222-cym,gwys rheithgor
5222-eng,juror charter
5222-eng,jury summons form
5222a-bil,juror charter
5222a-eng,juror charter
a-e-eng,none detected
a1-cym,none detected
a1-eng,form a1
a100-eng,none detected
a101-eng,none detected
a101a-bil_doc,none detected
a101a-eng_doc,none detected
a102-eng,none detected
a103-eng,none detected
a104-eng,none detected
a105-eng,none detected
a106-eng,none detected
a107-eng,none detected
a2-eng,form a2
a20-bil,none detected
a20-cym,ex160a
a20-cym,ex50
a20-cym,cb4
a20-cym,cb1
a20-cym,a58
a20-cym,a21
a20-eng,ex160a
a20-eng,ex50
a20-eng,cb4
a20-eng,cb1
a20-eng,a58
a20-eng,a21
a20(1)-cym,a20
a20(1)-cym,a20\(1\)
a20(1)-eng,a20
a20(1)-eng,a20\(1\)
a21-cym,ex160a
a21-cym,ex50
a21-cym,a59
a21-eng,ex160a
a21-eng,ex50
a21-eng,a59
a4-eng,none detected
a5-eng,none detected
a50-bil,none detected
a50-eng,none detected
a50-nodiadau-a50-notes-bil,none detected
a50-notes-eng,a65
a50-notes-eng,a50
a51-bil,none detected
a51-eng,none detected
a51-nodiadau-a51-notes-bil,none detected
a51-notes-eng,ex160a
a51-notes-eng,ex50
a51-notes-eng,a51
a52-bil,none detected
a52-eng,none detected
a52-nodiadau-a52-notes-bil,a65
a52-nodiadau-a52-notes-bil,a52 notes
a52-nodiadau-a52-notes-bil,a52
a52-nodiadau-a52-notes-bil,a52 notes
a52-notes-eng,ex160a
a52-notes-eng,ex50
a53-bil,none detected
a53-eng,none detected
a53-nodiadau-a53-notes-bil,fp2
a53-nodiadau-a53-notes-bil,a65
a53-nodiadau-a53-notes-bil,a53
a53-nodiadau-a53-notes-bil,a53 notes
a53-nodiadau-a53-notes-bil,a53 notes
a53-notes-eng,fp2
a53-notes-eng,a53
a54-bil,none detected
a54-eng,none detected
a54-nodiadau-a54-notes-bil,none detected
a54-notes-eng,a54
a55-bil,none detected
a55-eng,none detected
a55-nodiadau-a55-notes-bil,none detected
a55-notes-eng,ex160a
a55-notes-eng,ex50
a55-notes-eng,a55
a56-bil,none detected
a56-eng,none detected
a56-nodiadau-a56-notes-bil,a56
a56-notes-eng,a56
a57-bil,a65
a57-eng,none detected
a57-nodiadau-a57-notes-bil,a65
a57-nodiadau-a57-notes-bil,a57 notes
a57-nodiadau-a57-notes-bil,a57
a57-nodiadau-a57-notes-bil,a57 notes
a57-notes-eng,a57
a58-bil,ex160a
a58-bil,a60
a58-bil,a59
a58-eng,ex160
a58-eng,a60
a58-eng,a59
a58-nodiadau-a58-notes-bil,a60
a58-nodiadau-a58-notes-bil,a59
a58-nodiadau-a58-notes-bil,a58
a58-nodiadau-a58-notes-bil,a58 notes
a58-nodiadau-a58-notes-bil,a58 notes
a58-notes-eng,ex160
a58-notes-eng,ex50
a58-notes-eng,a60
a58-notes-eng,a59
a58-notes-eng,a58
a59-bil,none detected
a59-eng,a61
a59-nodiadau-a59-notes-bil,a61
a59-nodiadau-a59-notes-bil,a59
a59-notes-eng,a61
a59-notes-eng,a59
a60-bil,ex160a
a60-bil,a61
a60-eng,a61
a60-nodiadau-a60-notes-bil,a60
a60-nodiadau-a60-notes-bil,a60 notes
a60-nodiadau-a60-notes-bil,a60 notes
a60-notes-eng,a60
a61-bil,none detected
a61-eng,none detected
a61-nodiadau-a61-notes-bil,a61
a61-nodiadau-a61-notes-bil,a61 notes
a61-nodiadau-a61-notes-bil,a61 notes
a61-notes-eng,a61
a62-bil,none detected
a62-eng,none detected
a62-nodiadau-a62-notes-bil,none detected
a62-notes-eng,a62
a63-bil,none detected
a63-eng,none detected
a63-nodiadau-a63-notes-bil,none detected
a63-notes-eng,ex50
a63-notes-eng,a63
a64-bil,none detected
a64-eng,none detected
a64a-bil,none detected
a64a-eng,none detected
a65-bil,none detected
a65-eng,none detected
ac001-(birmingham)-eng,ex160
ac001-(birmingham)-eng,ac001
ac001-(cardiff)-eng,ex160
ac001-(cardiff)-eng,ac001
ac001-(leeds)-eng,ex160
ac001-(leeds)-eng,ac001
ac001-(london)-eng,ex160
ac001-(london)-eng,ac001
ac001-(manchester)-eng,ex160
ac001-(manchester)-eng,ac001
ac010-eng,none detected
ac011-eng,none detected
ac013-eng,none detected
ac014-eng_doc,none detected
ac015-eng,none detected
ac016-eng,none detected
ac017-eng,none detected
adm1-eng,none detected
adm10-eng,none detected
adm11-eng,none detected
adm12-eng,none detected
adm12a-eng,none detected
adm13-eng,adm14
adm14-eng,none detected
adm15-eng,none detected
adm15b-eng,adm16
adm15b-eng,adm16a
adm16-eng,none detected
adm16a-eng,none detected
adm17-eng,none detected
adm17a-eng,none detected
adm18-eng,none detected
adm19-eng,none detected
adm1a-eng,none detected
adm1c-cym,adm2
adm1c-eng,none detected
adm2-cym,none detected
adm2-eng,none detected
adm20-eng,none detected
adm21-eng,none detected
adm3-eng,none detected
adm4-eng,none detected
adm5-eng,none detected
adm6-eng,none detected
adm7-eng,none detected
adm9-eng,none detected
ae-canllaw-cym,none detected
ae-faq-cym,none detected
aj20-cym,none detected
aj22-eng,none detected
aj24-cym,none detected
aj24-eng,none detected
aj25-cym,none detected
aj26-cym,none detected
aj26-eng,none detected
allowances-eng,none detected
application-for-anonymity-(iat)-eng_doc,none detected
application-for-anonymity-(utiac)-eng_doc,none detected
application-for-anonymity-(utiac)-eng,none detected
application-for-anonymity-notes-(iat)-eng,none detected
application-for-anonymity-notes-(utiac)-eng,none detected
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng,none detected
b1-eng_doc,none detected
bank-1-eng_doc,none detected
bank-2-eng_doc,none detected
bank-3-eng_doc,none detected
bank-4-eng_doc,none detected
bank-5-eng_doc,none detected
bank-6-eng_doc,none detected
bank-7-eng_doc,none detected
bank-8-eng_doc,none detected
bill-of-costs-(scco)-eng,scco
bill-of-costs-(scco)-eng,n258c
bill-of-costs-(scco)-eng,n210
bill-of-costs-(scco)-eng,n208
bill-of-costs-(scco)-eng,ex340
c(pra1)-bil,none detected
c(pra1)-eng,c\(pra1\)
c(pra2)-bil,none detected
c(pra2)-eng,c\(pra2\)
c(pra3)-bil,none detected
c(pra3)-eng,c\(pra3\)
c1-bil,cb1
c1-bil,c100
c1-bil,c110
c1-bil,c79
c1-bil,c19
c1-bil,c17
c1-bil,c15
c1-bil,c11
c1-bil,c13
c1-cym,none detected
c1-eng,fm1
c1-eng,cb1
c1-eng,c100
c1-eng,c79
c100-bil,ex50
c100-bil,cb7
c100-bil,cb1
c100-bil,c79
c100-bil,c1a
c100-eng,ex50
c100-eng,cb7
c100-eng,cb1
c100-eng,c79
c100-eng,c1a
c11-bil,none detected
c110-bil,none detected
c110-eng,none detected
c110a-cym,none detected
c110a-eng,none detected
c12-bil,none detected
c12-eng,none detected
c120-eng,none detected
c13-eng,none detected
c13a-eng,none detected
c14-bil,none detected
c14-eng,none detected
c15-bil,none detected
c15-eng,none detected
c16-bil,none detected
c16-eng,none detected
c17-bil,none detected
c17-eng,none detected
c17a-bil,none detected
c17a-eng,none detected
c18-bil,none detected
c18-eng,none detected
c19-eng,none detected
c1a-bil,c100
c1a-eng,c100
c1a-nodiadau-c1a-notes-bil,none detected
c1a-notes-eng,none detected
c2-bil,cb1
c2-eng,fm1
c2-eng,ex160a
c2-eng,ex50
c2-eng,cb1
c2-eng,c100
c2-eng,c1a
c20-cym,none detected
c20-eng,none detected
c23-eng,none detected
c3-bil,none detected
c3-eng,none detected
c4-bil,none detected
c4-eng,none detected
c5-bil,cb1
c5-eng,cb1
c51-bil,cb1
c51-bil,c52
c51-eng,cb1
c51-eng,c52
c52-bil,form a
c52-bil,form a
c52-eng,form a
c52-eng,form a
c60-bil,none detected
c60-eng,none detected
c61-eng,none detected
c62-eng,none detected
c63-bil,ex160a
c63-bil,ex50
c63-bil,cb1
c63-eng,ex160a
c63-eng,ex50
c63-eng,cb1
c64-bil,ex160a
c64-bil,ex50
c64-bil,cb1
c64-eng,ex160a
c64-eng,ex50
c64-eng,cb1
c65-bil,ex160a
c65-bil,ex50
c65-bil,cb1
c65-eng,ex160a
c65-eng,ex50
c65-eng,cb1
c66-bil,cb1
c66-bil,c1a
c66-eng,cb1
c66-eng,c1a
c67-eng,cb1
